Variable,mean,var
day_length,0.13290466414377058,6.357980046236891e-5
ddx_day_length,0.11966252173567586,2.8580035360915325e-4
deptho,0.09448076737247081,5.5040035298345154e-5
temp_sur,0.08183861296241053,2.0368305486511882e-4
o2_sur,0.06208686777297155,2.4807400524292553e-5
temp_bot,0.057684557995619445,2.413903247829621e-5
sal_sur,0.05713329903084505,1.271149426383437e-5
po4_sur,0.0569858395195809,1.6211781162547894e-5
si_sur,0.05672253854080879,1.2051842338809864e-5
no3_sur,0.05119690474895634,1.4545166504447871e-5
chl_sur,0.05052283058113381,4.0155587759822615e-5
zos_zos,0.04160800350945007,5.007752040141502e-6
slope,0.04152716346148619,2.1625648134182575e-5
nppv_sur,0.03491138532109692,1.0826328050237737e-5
vel_sur,0.032063271423261534,6.287901538864769e-6
mlotst_mld,0.0286707718804616,1.3582249380051685e-5
