Variable,mean,var
temp_sur,0.20610828686508273,0.0022227389273441235
o2_sur,0.19446942880857818,0.0041074766584606745
ddx_day_length,0.16243169130153537,0.0014047281651853392
temp_bot,0.0882734919207713,0.0010912972368039514
day_length,0.06405646439494896,5.832365637283979e-5
po4_sur,0.06011351971210501,4.7836263387377213e-4
sal_sur,0.032443527553680254,4.2220549577402086e-5
zos_zos,0.02728866545965602,2.5809578746168485e-5
chl_sur,0.02483644397144773,1.138174578249377e-5
si_sur,0.024340348547165578,8.188173395810079e-6
deptho,0.021012333764894368,2.5858266157322633e-6
slope,0.02068041205366595,2.5247067105523236e-6
nppv_sur,0.01991836464140883,5.5062085024584105e-6
no3_sur,0.019547524606139573,4.818347696199733e-6
vel_sur,0.01725867588798406,1.9628340673149964e-6
mlotst_mld,0.017220820510936086,2.8210689734424637e-6
