Variable,mean,var
ddx_day_length,0.1283965920400482,3.43989443013379e-4
deptho,0.12166026561085183,6.84285629166726e-5
temp_bot,0.10561443583552603,1.9823901141182234e-4
o2_sur,0.0900265548379919,3.796281713846463e-4
sal_sur,0.07756987873262508,5.7670323559517126e-5
day_length,0.07529448358121998,2.0926879668861888e-5
po4_sur,0.0631583065650344,3.835068165996792e-5
temp_sur,0.05914077241639619,1.1453997744415975e-4
slope,0.05033521894186134,3.930196192861735e-5
si_sur,0.04778770713952016,9.413730569891363e-6
zos_zos,0.041124388549919615,6.820256111257643e-6
chl_sur,0.03618400546610671,4.036528850969383e-6
no3_sur,0.0350839486647035,8.174332655868265e-6
nppv_sur,0.02492757020039684,6.098294240549168e-6
vel_sur,0.022734429211662664,2.8933091077383273e-6
mlotst_mld,0.020961442206135578,4.240797420065482e-6
